        2                   4                   identity            True                True                [('0.333', '0.258'), ('0.299', '0.294'), ('0.308', '0.182'), ('0.318', '0.230'), ('0.309', '0.242'), ('0.332', '0.330'), ('0.322', '0.130'), ('0.311', '0.300'), ('0.345', '0.194'), ('0.318', '0.163')]('0.3195', '0.2323')
LogReg              ngram_notes         8                   5                   identity            False               True                [('0.320', '0.295'), ('0.298', '0.280'), ('0.315', '0.174'), ('0.304', '0.236'), ('0.343', '0.219'), ('0.313', '0.239'), ('0.336', '0.149'), ('0.337', '0.284'), ('0.328', '0.102'), ('0.338', '0.150')]('0.3232', '0.2128')
LogReg              ngram_notes         8                   5                   identity            True                True                [('0.320', '0.295'), ('0.298', '0.280'), ('0.315', '0.174'), ('0.302', '0.236'), ('0.343', '0.219'), ('0.313', '0.239'), ('0.336', '0.149'), ('0.337', '0.284'), ('0.330', '0.102'), ('0.338', '0.150')]('0.3232', '0.2128')
LogReg              ngram_notes         8                   6                   identity            False               True                [('0.327', '0.300'), ('0.307', '0.286'), ('0.318', '0.179'), ('0.316', '0.186'), ('0.338', '0.258'), ('0.336', '0.235'), ('0.356', '0.155'), ('0.335', '0.344'), ('0.342', '0.107'), ('0.351', '0.081')]('0.3326', '0.2131')
LogReg              ngram_notes         7                   4                   identity            False               True                [('0.312', '0.274'), ('0.299', '0.294'), ('0.308', '0.182'), ('0.297', '0.149'), ('0.341', '0.212'), ('0.315', '0.264'), ('0.339', '0.169'), ('0.326', '0.314'), ('0.316', '0.145'), ('0.328', '0.140')]('0.3181', '0.2143')
LogReg              ngram_notes         7                   4                   identity            True                True                [('0.312', '0.274'), ('0.299', '0.294'), ('0.308', '0.182'), ('0.297', '0.149'), ('0.341', '0.212'), ('0.315', '0.264'), ('0.340', '0.169'), ('0.326', '0.314'), ('0.316', '0.145'), ('0.328', '0.140')]('0.3182', '0.2143')
LogReg              ngram_notes         5                   4                   identity            True                True                [('0.309', '0.290'), ('0.299', '0.284'), ('0.308', '0.182'), ('0.298', '0.149'), ('0.323', '0.227'), ('0.321', '0.264'), ('0.322', '0.169'), ('0.314', '0.314'), ('0.311', '0.129'), ('0.325', '0.140')]('0.3130', '0.2148')
LogReg              ngram_notes         6                   4                   identity            False               True                [('0.312', '0.290'), ('0.295', '0.275'), ('0.308', '0.182'), ('0.306', '0.162'), ('0.327', '0.227'), ('0.317', '0.253'), ('0.328', '0.169'), ('0.311', '0.314'), ('0.314', '0.145'), ('0.328', '0.140')]('0.3146', '0.2157')
LogReg              ngram_notes         6                   4                   identity            True                True                [('0.312', '0.290'), ('0.295', '0.275'), ('0.308', '0.182'), ('0.306', '0.162'), ('0.327', '0.227'), ('0.318', '0.253'), ('0.328', '0.169'), ('0.313', '0.314'), ('0.314', '0.145'), ('0.328', '0.140')]('0.3149', '0.2157')
LogReg              ngram_notes         8                   4                   identity            False               True                [('0.311', '0.274'), ('0.302', '0.284'), ('0.309', '0.182'), ('0.303', '0.162'), ('0.335', '0.212'), ('0.318', '0.242'), ('0.339', '0.169'), ('0.317', '0.300'), ('0.325', '0.194'), ('0.334', '0.140')]('0.3193', '0.2159')
LogReg              ngram_notes         8                   4                   identity            True                True                [('0.311', '0.274'), ('0.302', '0.284'), ('0.309', '0.182'), ('0.303', '0.162'), ('0.335', '0.212'), ('0.318', '0.242'), ('0.339', '0.169'), ('0.319', '0.300'), ('0.325', '0.194'), ('0.337', '0.140')]('0.3198', '0.2159')
LogReg              ngram_notes         7                   5                   identity            False               True                [('0.323', '0.295'), ('0.304', '0.280'), ('0.310', '0.174'), ('0.294', '0.222'), ('0.334', '0.250'), ('0.310', '0.227'), ('0.331', '0.162'), ('0.335', '0.299'), ('0.319', '0.102'), ('0.347', '0.150')]('0.3207', '0.2161')
LogReg              ngram_notes         7                   5                   identity            True                True                [('0.323', '0.295'), ('0.304', '0.280'), ('0.310', '0.174'), ('0.294', '0.222'), ('0.334', '0.250'), ('0.310', '0.227'), ('0.331', '0.162'), ('0.335', '0.299'), ('0.319', '0.102'), ('0.347', '0.150')]('0.3207', '0.2161')
LogReg              ngram_notes         5                   4                   identity            False               True                [('0.309', '0.290'), ('0.299', '0.284'), ('0.308', '0.182'), ('0.298', '0.149'), ('0.323', '0.227'), ('0.320', '0.264'), ('0.322', '0.169'), ('0.314', '0.314'), ('0.311', '0.145'), ('0.325', '0.140')]('0.3129', '0.2164')
LogReg              ngram_notes         6                   7                   identity            False               False               [('0.474', '0.322'), ('0.492', '0.302'), ('0.480', '0.293'), ('0.492', '0.162'), ('0.524', '0.167'), ('0.515', '0.232'), ('0.471', '0.132'), ('0.510', '0.262'), ('0.490', '0.151'), ('0.518', '0.147')]('0.4966', '0.2170')
LogReg              ngram_notes         8                   5                   identity            False               False               [('0.471', '0.295'), ('0.483', '0.230'), ('0.493', '0.233'), ('0.462', '0.264'), ('0.512', '0.188'), ('0.494', '0.216'), ('0.496', '0.095'), ('0.498', '0.269'), ('0.488', '0.237'), ('0.493', '0.150')]('0.4890', '0.2177')
LogReg              ngram_notes         7                   8                   identity            True                False               [('0.608', '0.190'), ('0.613', '0.266'), ('0.644', '0.263'), ('0.628', '0.333'), ('0.640', '0.172'), ('0.620', '0.228'), ('0.610', '0.154'), ('0.632', '0.328'), ('0.598', '0.180'), ('0.620', '0.065')]('0.6213', '0.2179')
LogReg              ngram_notes         4                   6                   identity            False               True                [('0.321', '0.350'), ('0.311', '0.306'), ('0.315', '0.167'), ('0.342', '0.214'), ('0.330', '0.274'), ('0.334', '0.212'), ('0.351', '0.169'), ('0.321', '0.266'), ('0.331', '0.143'), ('0.335', '0.081')]('0.3291', '0.2182')
LogReg              ngram_notes         4                   6                   identity            True                True                [('0.319', '0.350'), ('0.311', '0.306'), ('0.315', '0.167'), ('0.342', '0.214'), ('0.330', '0.274'), ('0.334', '0.212'), ('0.351', '0.169'), ('0.321', '0.266'), ('0.331', '0.143'), ('0.335', '0.081')]('0.3289', '0.2182')
LogReg              ngram_notes         5                   6                   identity            False               True                [('0.321', '0.350'), ('0.309', '0.306'), ('0.317', '0.179'), ('0.332', '0.171'), ('0.325', '0.290'), ('0.336', '0.212'), ('0.341', '0.155'), ('0.321', '0.297'), ('0.344', '0.143'), ('0.325', '0.081')]('0.3271', '0.2184')
LogReg              ngram_notes         5                   6                   identity            True                True                [('0.321', '0.350'), ('0.309', '0.306'), ('0.317', '0.179'), ('0.332', '0.171'), ('0.325', '0.290'), ('0.336', '0.212'), ('0.341', '0.155'), ('0.321', '0.297'), ('0.344', '0.143'), ('0.328', '0.081')]('0.3274', '0.2184')
LogReg              ngram_notes         8                   3                   identity            False               True                [('0.315', '0.302'), ('0.313', '0.308'), ('0.318', '0.189'), ('0.284', '0.237'), ('0.336', '0.235'), ('0.298', '0.255'), ('0.333', '0.175'), ('0.324', '0.274'), ('0.311', '0.092'), ('0.335', '0.130')]('0.3167', '0.2197')
LogReg              ngram_notes         8                   3                   identity            True                True                [('0.315', '0.302'), ('0.313', '0.308'), ('0.318', '0.189'), ('0.283', '0.237'), ('0.336', '0.235'), ('0.295', '0.255'), ('0.333', '0.175'), ('0.324', '0.274'), ('0.311', '0.092'), ('0.335', '0.130')]('0.3163', '0.2197')
LogReg              ngram_notes         7                   2                   identity            False               False               [('0.335', '0.297'), ('0.371', '0.208'), ('0.362', '0.174'), ('0.374', '0.308'), ('0.386', '0.214'), ('0.360', '0.196'), ('0.387', '0.133'), ('0.369', '0.303'), ('0.387', '0.162'), ('0.373', '0.204')]('0.3704', '0.2199')
