RATIOS-
[0.18965060878771836, 0.1864081524616199, 0.18680518793012177, 0.18667284277395446, 0.18647432503970354]

MODEL               DATA_TYPE           NOTES               NGRAMLENGTHVAL      ACTIVATION/KERNEL   CHORDS_IN_NRGAM     SOFTMAX             SCORES              AVG. SCORE          
MLP                 ngram_notes         4                   8                   identity            False               False               [('0.257', '0.255'), ('0.270', '0.200'), ('0.263', '0.253'), ('0.259', '0.260'), ('0.264', '0.248')]('0.2626', '0.2432')
MLP                 ngram_notes         4                   8                   identity            False               False               [('0.257', '0.255'), ('0.270', '0.200'), ('0.263', '0.253'), ('0.259', '0.260'), ('0.264', '0.248')]('0.2626', '0.2432')
MLP                 ngram_notes         4                   8                   identity            False               False               [('0.257', '0.255'), ('0.270', '0.200'), ('0.263', '0.253'), ('0.259', '0.260'), ('0.264', '0.248')]('0.2626', '0.2432')
MLP                 ngram_notes         5                   1                   identity            False               False               [('0.237', '0.284'), ('0.259', '0.182'), ('0.241', '0.263'), ('0.240', '0.265'), ('0.244', '0.243')]('0.2442', '0.2474')
MLP                 ngram_notes         5                   1                   identity            False               False               [('0.237', '0.284'), ('0.259', '0.182'), ('0.241', '0.263'), ('0.240', '0.265'), ('0.244', '0.243')]('0.2442', '0.2474')
MLP                 ngram_notes         5                   1                   identity            False               False               [('0.237', '0.284'), ('0.259', '0.182'), ('0.241', '0.263'), ('0.240', '0.265'), ('0.244', '0.243')]('0.2442', '0.2474')
MLP                 ngram_notes         5                   2                   identity            False               False               [('0.243', '0.282'), ('0.263', '0.185'), ('0.245', '0.261'), ('0.243', '0.260'), ('0.251', '0.257')]('0.2490', '0.2490')
MLP                 ngram_notes         5                   2                   identity            False               False               [('0.243', '0.282'), ('0.263', '0.185'), ('0.245', '0.261'), ('0.243', '0.260'), ('0.251', '0.257')]('0.2490', '0.2490')
MLP                 ngram_notes         5                   2                   identity            False               False               [('0.243', '0.282'), ('0.263', '0.185'), ('0.245', '0.261'), ('0.243', '0.260'), ('0.251', '0.257')]('0.2490', '0.2490')
MLP                 ngram_notes         5                   3                   identity            False               False               [('0.244', '0.263'), ('0.266', '0.191'), ('0.246', '0.261'), ('0.244', '0.253'), ('0.249', '0.253')]('0.2498', '0.2442')
MLP                 ngram_notes         5                   3                   identity            False               False               [('0.244', '0.263'), ('0.266', '0.191'), ('0.246', '0.261'), ('0.244', '0.253'), ('0.249', '0.253')]('0.2498', '0.2442')
MLP                 ngram_notes         5                   3                   identity            False               False               [('0.244', '0.263'), ('0.266', '0.191'), ('0.246', '0.261'), ('0.244', '0.253'), ('0.249', '0.253')]('0.2498', '0.2442')
MLP                 ngram_notes         5                   4                   identity            False               False               [('0.250', '0.258'), ('0.264', '0.192'), ('0.250', '0.264'), ('0.250', '0.259'), ('0.251', '0.247')]('0.2530', '0.2440')
MLP                 ngram_notes         5                   4                   identity            False               False               [('0.250', '0.258'), ('0.264', '0.192'), ('0.250', '0.264'), ('0.250', '0.259'), ('0.251', '0.247')]('0.2530', '0.2440')
MLP                 ngram_notes         5                   4                   identity            False               False               [('0.250', '0.258'), ('0.264', '0.192'), ('0.250', '0.264'), ('0.250', '0.259'), ('0.251', '0.247')]('0.2530', '0.2440')
MLP                 ngram_notes         5                   5                   identity            False               False               [('0.250', '0.253'), ('0.264', '0.196'), ('0.250', '0.262'), ('0.249', '0.259'), ('0.253', '0.244')]('0.2532', '0.2428')
MLP                 ngram_notes         5                   5                   identity            False               False               [('0.250', '0.253'), ('0.264', '0.196'), ('0.250', '0.262'), ('0.249', '0.259'), ('0.253', '0.244')]('0.2532', '0.2428')
MLP                 ngram_notes         5                   5                   identity            False               False               [('0.250', '0.253'), ('0.264', '0.196'), ('0.250', '0.262'), ('0.249', '0.259'), ('0.253', '0.244')]('0.2532', '0.2428')
MLP                 ngram_notes         5                   6                   identity            False               False               [('0.251', '0.256'), ('0.269', '0.198'), ('0.255', '0.249'), ('0.254', '0.251'), ('0.257', '0.247')]('0.2572', '0.2402')
MLP                 ngram_notes         5                   6                   identity            False               False               [('0.251', '0.256'), ('0.269', '0.198'), ('0.255', '0.249'), ('0.254', '0.251'), ('0.257', '0.247')]('0.2572', '0.2402')
MLP                 ngram_notes         5                   6                   identity            False               False               [('0.251', '0.256'), ('0.269', '0.198'), ('0.255', '0.249'), ('0.254', '0.251'), ('0.257', '0.247')]('0.2572', '0.2402')
MLP                 ngram_notes         5                   7                   identity            False               False               [('0.257', '0.256'), ('0.273', '0.203'), ('0.261', '0.248'), ('0.262', '0.259'), ('0.261', '0.248')]('0.2628', '0.2428')
MLP                 ngram_notes         5                   7                   identity            False               False               [('0.257', '0.256'), ('0.273', '0.203'), ('0.261', '0.248'), ('0.262', '0.259'), ('0.261', '0.248')]('0.2628', '0.2428')
MLP                 ngram_notes         5                   7                   identity            False               False               [('0.257', '0.256'), ('0.273', '0.203'), ('0.261', '0.248'), ('0.262', '0.259'), ('0.261', '0.248')]('0.2628', '0.2428')
